text,merged_lexicon
wnyqly,conjunction | verb peal
)pnt),preposition with pronominal suffix | noun sg. emphatic
dmr),preposition | noun sg. emphatic
xdt),adjective singular determined
wny?rg?$,conjunction | verb (h)aphel
bh;,preposition with pronominal suffix
wsymnyK;,conjunction | noun sg. emphatic
rTyb),adjective singular determined
lyby$),preposition proclitic | adjective singular determined
wyby$),conjunction | adjective singular determined
lrTyb);,preposition proclitic | adjective singular determined
