text,merged_lexicon
b)wnyh;,noun
wn$qwl,conjunction | verb peal
xd),numeral singular absolute or construct
wnnx,conjunction | verb (h)aphel
xd);,numeral singular absolute or construct
w)y,conjunction | conjunction
l);,adverb
nyty,verb (h)aphel
)wd{{r}}<d>),noun
dn<y>r),preposition | noun sg. emphatic
dl),conjunction | adverb
m$qP,verb pael
wnynx,conjunction | verb (h)aphel
byh;,preposition with pronominal suffix
w)y,conjunction | conjunction
l);,adverb
nytlyyh,verb peal
l)wdnyh,preposition with pronominal suffix | noun sg. emphatic
lhdy,preposition independent
nwr);,noun sg. emphatic
