text,merged_lexicon
)m',verb peal
lhw,preposition proclitic
rb),No data
lhnhw,preposition proclitic | preposition independent
$qwl)y,noun pl. emphatic
dxmr);,preposition | noun sg. emphatic
ky,conjunction
drytw,verb peal
xbyt),noun sg. emphatic
dxmr);,preposition | noun sg. emphatic
l),adverb
tqrywh,verb peal
"""lgwy""",No data
lsyw(y,preposition with pronominal suffix | V
bhdykw;,preposition
dlm),conjunction
)gb )wrxyh,preposition
rmytw,verb peal
(lyh;,preposition with pronominal suffix
hwh,verb peal
lyh,preposition with pronominal suffix
km)N,preposition independent
dq),conjunction | adverb
)ty,verb peal
"""mkwx",No data
"gwy""",No data
w)syr,conjunction | adjective singular absolute or construct
..;,No data
"""gwy""",No data
dd)ry,conjunction | verb peal
zyq),noun sg. emphatic
