text,merged_lexicon
mxlly',verb pael
(lyhw,preposition with pronominal suffix
$bt);,noun sg. emphatic
dydkw,preposition with pronominal suffix
dl),conjunction | adverb
mnTry,verb pael
$bt);,noun sg. emphatic
l),adverb
mxllynN,verb pael
(lyhw,preposition with pronominal suffix
$bt);,noun sg. emphatic
sbr,verb peal
rb,noun sg. emphatic
ywsP,No data
lmymr;,preposition with pronominal suffix | verb peal
)wnwqy,verb (h)aphel
"""b$kr""",No data
$ry,adjective singular absolute or construct
m$wM,preposition independent
""")ybh"";",No data
