text,merged_lexicon
d$kyxynN,conjunction | verb peal
gbykw;,preposition
rmynN,verb peal
)np$yN,noun sg. emphatic
wm(yynynN,conjunction | verb pael
bhw,preposition with pronominal suffix
?b?qr)y;,preposition with pronominal suffix | noun pl. emphatic
)ynhw,preposition independent
dl),conjunction | adverb
$kyxy,adjective plural absolute
gbykw;,preposition
l),adverb
m(yyny,verb pael
wl),conjunction | adverb
rmw,verb peal
)np$yhw;,noun sg. emphatic
)mrw,verb peal
lyh;,preposition
)ym),verb peal
lN,preposition with pronominal suffix
)yzy,adverb
)t;,R
