text,merged_lexicon
lh,preposition with pronominal suffix
l)ylp),preposition proclitic | noun sg. emphatic
d)zl),conjunction | verb peal
bl),preposition independent
mks);,noun sg. emphatic
^$ql,verb peal
skyn),noun sg. emphatic
wqT(h,conjunction | verb peal
l(wrlyth;,preposition proclitic | noun
w)k),conjunction | adverb
d)mry^;,conjunction | verb peal
npl,verb peal
(l,preposition independent
ry$),noun sg. emphatic
d(rltyh,preposition | noun
wqT(h,conjunction | verb peal
b$ynyh;,preposition with pronominal suffix | noun pl. emphatic
)m';,verb peal
