text,merged_lexicon
^ly$yylyh,verb pael
ltn);,preposition proclitic | noun sg. emphatic
wlypwq,conjunction | verb peal
klly,noun pl. emphatic
bywbly,preposition with pronominal suffix | noun
wprTy,conjunction | noun pl. emphatic
b$bw(y;,preposition with pronominal suffix | noun pl. emphatic
wlyty,conjunction | verb (h)aphel
trty,numeral singular determined
mkl,noun sg. abs. or construct
m)h,numeral singular absolute or construct
wly$dy,conjunction | verb peal
)prTy,noun pl. emphatic
wlypqynhw,conjunction | verb (h)aphel
b$bw(y;,preposition with pronominal suffix | noun pl. emphatic
wyd(,conjunction | verb peal
kmh,X
b$bw();,preposition with pronominal suffix | noun sg. emphatic
)ynmy,adverb
ly$yylyh,verb pael
lspr),preposition proclitic | noun sg. emphatic
wlybcyr,conjunction | verb pael
mynyh,preposition independent
trty,numeral singular determined
)w,conjunction
lwsyP,verb (h)aphel
(lyhw,preposition with pronominal suffix
xm$;,numeral singular absolute or construct
wlypqynwN,conjunction | verb (h)aphel
b$bw(y,preposition with pronominal suffix | noun pl. emphatic
wlyd(,conjunction | verb peal
kmh,X
b$bw();,preposition with pronominal suffix | noun sg. emphatic
wsymnyK;^,conjunction | noun sg. emphatic
