text,merged_lexicon
hhw),preposition independent
b(kbr),preposition with pronominal suffix | noun sg. emphatic
ddbr);,preposition | noun sg. emphatic
)yk),adverb
d)mry;,conjunction | verb peal
wmy,conjunction | conjunction
m)ys,adjective singular absolute or construct
"""whl)",No data
(wlh,No data
(l,No data
$wxN,No data
"mlkyM"";",No data
)m',verb peal
rb,noun sg. emphatic
$ymy,No data
mnhrd();,preposition
l),adverb
q$y);,adjective singular absolute or construct
h),P
bddbr);,preposition | noun sg. emphatic
h),P
bdmt);,preposition
