text,merged_lexicon
my),noun pl. emphatic
mby,preposition | noun sg. abs. or construct
)rmlt);,noun sg. emphatic
)m';,verb peal
lyt,V
lh,preposition with pronominal suffix
)ymt),noun sg. emphatic
dgbr),preposition | noun sg. emphatic
wl),conjunction | adverb
mksy),verb pael
my);,noun pl. emphatic
)bl,No data
mby,preposition | noun sg. abs. or construct
)rm)h,adjective singular determined
$)ty;,verb peal
)m';,verb peal
nhy,verb peal
d)gylwy),conjunction | noun sg. emphatic
l),adverb
qpdy;,verb peal
