text,merged_lexicon
)mnqywt),noun sg. emphatic
qpdy;,verb peal
w)yk',conjunction | adverb
d)m';,conjunction | verb peal
rb,No data
l),adverb
$)ty,verb peal
my),noun pl. emphatic
mby,preposition | noun sg. abs. or construct
)rmlt),noun sg. emphatic
)l),conjunction
mby,preposition | noun sg. abs. or construct
)rm)h;,adjective singular determined
$mw)l,No data
l),adverb
$)ty,verb peal
l),adverb
mby,preposition | noun sg. abs. or construct
)rm)h,adjective singular determined
wl),conjunction | adverb
mby,preposition | noun sg. abs. or construct
)rmlt);,noun sg. emphatic
