text,merged_lexicon
$by;,noun pl. emphatic
lswP,noun
x$,verb peal
rb,noun sg. emphatic
$mw)l,No data
br,noun sg. abs. or construct
yhwdh,No data
b(ynyh;,preposition with pronominal suffix | noun sg. emphatic
$lx,verb peal
lyh,preposition
lrb,preposition proclitic | noun sg. emphatic
yhwdh;,No data
$ry,adjective singular absolute or construct
)w,conjunction
)syr;,adjective singular absolute or construct
$lx,verb peal
lyh;,preposition
lkwly (lm),preposition proclitic | noun pl. construct | noun sg. emphatic
$ry,adjective singular absolute or construct
wlK,conjunction | preposition with pronominal suffix
